gene,0,4,8
Fbxo36,113,111.25,120.42857142857143
Fcamr,1.1428571428571428,1.75,2
Fcrls,274,211.25,70.85714285714286
Fen1,597.1428571428571,685.625,814.5714285714286
Fer1l5,3.2857142857142856,2.375,2.142857142857143
Fev,3.5714285714285716,9.25,8
Fgf22,60,78.25,121.71428571428571
Fgfbp1,59,62.75,163.71428571428572
Fgfr1,6690,6805.875,6957.571428571428
Fgfr3,3847.8571428571427,4445.625,5170.142857142857
Fhl2,121.57142857142857,102.625,141
Fibcd1,55.285714285714285,57.125,73.42857142857143
Fkbp1b,280.14285714285717,284.875,261.7142857142857
Flywch1,11156.857142857143,12552.875,13804.285714285714
Fmnl3,371.7142857142857,398.375,507.2857142857143
Fmo2,353.85714285714283,386.125,456.42857142857144
Fn1,3607.5714285714284,3248.375,3236.285714285714
Fn3k,1094,1116.75,804.8571428571429
Folh1,572.4285714285714,804.875,934.5714285714286
Foxj2,2546.714285714286,2463,2389.1428571428573
Foxl2os,43.42857142857143,38.75,37.285714285714285
Fzd4,1154.7142857142858,1010.75,1079.857142857143
Fzd7,2251.5714285714284,2482.125,2360.285714285714
Gaa,6369,6959.125,7157.857142857143
Gabpb1,1144.2857142857142,1181.25,1272.857142857143
Gabra3,808.2857142857143,906.25,980.1428571428571
Gabrd,5988.428571428572,6156.375,5758.714285714285
Gabrr1,5.857142857142857,8.375,16.714285714285715
Gabrr2,61,83.375,139
Gak,4325.714285714285,4290.25,4634.428571428572
Gal3st1,335.14285714285717,255.5,170
Galnt7,2215.8571428571427,2254,2178.4285714285716
Gata3,19.428571428571427,22.625,36.857142857142854
Gatm,4660.857142857143,4378.875,3079.714285714286
Gbp4,107.71428571428571,135.25,571.7142857142857
Gbp6,170.14285714285714,256,327.57142857142856
Gbx2,2.5714285714285716,5.875,3.5714285714285716
Gdap1,5806.571428571428,6066.5,5590.428571428572
Get4,1190.5714285714287,1280.5,1570.4285714285713
Ggact,1217.4285714285713,1414.125,1758.2857142857142
Ggcx,975.1428571428571,892.125,694.5714285714286
Gin1,404.7142857142857,437.5,428.2857142857143
Gipr,33.857142857142854,41.5,87.42857142857143
Gja5,31.428571428571427,24.875,14.714285714285714
Gjb1,759.2857142857143,677,452.57142857142856
Gjc2,638.1428571428571,480,224
Gkn3,120.57142857142857,73,20.428571428571427
Glb1l,390.42857142857144,379.25,397.2857142857143
Glra2,198.71428571428572,208.125,237.28571428571428
Glra3,141.85714285714286,175.375,187.57142857142858
Glrp1,1.8571428571428572,0.875,1
Glrx2,2111,2097.75,2036
Gls,14296.285714285714,14806.375,13918
Glt8d1,1417.857142857143,1382.375,1021.5714285714286
Gltp,1830.4285714285713,1531.875,1171.2857142857142
Glul,48123.28571428572,55357.5,73947.85714285714
Glyr1,7689.857142857143,8140.375,8868.142857142857
Gm10193,1.4285714285714286,2,1.1428571428571428
Gm10432,111.42857142857143,138.5,148
Gm10566,2.2857142857142856,1.125,2.857142857142857
Gm10654,146.42857142857142,167.625,409
Gm11581,1.5714285714285714,1.125,2
Gm11605,5.857142857142857,5.375,4.142857142857143
Gm11627,8.428571428571429,7.625,11.428571428571429
Gm13562,40,28.25,11
Gm13748,5.857142857142857,6.5,5.714285714285714
Gm14827,370,365.625,201.42857142857142
Gm15423,69.71428571428571,89.75,135.85714285714286
Gm15433,0.7142857142857143,0.75,1.5714285714285714
Gm15455,7,7.25,7.142857142857143
Gm15793,2,2.375,2
Gm15825,2.5714285714285716,1.875,3.142857142857143
Gm15850,1.7142857142857142,1.375,0.8571428571428571
Gm16070,3.857142857142857,3.375,6.714285714285714
Gm16083,17.142857142857142,19.125,14.857142857142858
Gm16103,0.8571428571428571,0.875,1.5714285714285714
Gm16150,19.142857142857142,17.75,25
Gm16152,4.571428571428571,3.75,2.7142857142857144
Gm16418,9.857142857142858,10,7.285714285714286
Gm16425,11.571428571428571,9.125,8.857142857142858
Gm16701,172.14285714285714,169.125,162.57142857142858
Gm16835,169.71428571428572,191.25,291.85714285714283
Gm16894,19.857142857142858,16.5,20.142857142857142
Gm17767,1.8571428571428572,1.5,2.2857142857142856
Gm19582,68.85714285714286,69.125,66.28571428571429
Gm19637,0.7142857142857143,0.625,1.4285714285714286
Gm19705,27,36.75,31.428571428571427
Gm1976,368.2857142857143,387.625,514.5714285714286
Gm2000,15.571428571428571,16.5,17.428571428571427
Gm20172,2.2857142857142856,2.75,2
Gm20501,109.71428571428571,137.75,209.14285714285714
Gm20627,39.714285714285715,37.125,11.428571428571429
Gm20743,213.28571428571428,212.125,202.42857142857142
Gm20751,82.42857142857143,102,230.14285714285714
Gm20753,3.2857142857142856,6.25,4.714285714285714
Gm2147,1.5714285714285714,1.125,1
Gm2223,18.571428571428573,20.875,23.428571428571427
Gm26685,2.142857142857143,1.125,1.1428571428571428
Gm26901,3.142857142857143,3,2.857142857142857
Gm27252,57.857142857142854,78.125,150.14285714285714
Gm28154,15.285714285714286,18.5,17.285714285714285
Gm28175,16.428571428571427,18.375,18.857142857142858
Gm28178,0.5714285714285714,1.125,1.2857142857142858
Gm28209,1.8571428571428572,2,1.8571428571428572
Gm2824,48.285714285714285,50.625,61
Gm28609,5.142857142857143,5.25,4.571428571428571
Gm28800,1.8571428571428572,2.125,3.5714285714285716
Gm29183,2.5714285714285716,3.375,4.571428571428571
Gm29214,7.142857142857143,5.375,4.571428571428571
Gm29257,3.4285714285714284,3.5,4.142857142857143
Gm29428,0.7142857142857143,1.375,0.7142857142857143
Gm29485,2,2.375,1.7142857142857142
Gm29538,8,7.75,6.571428571428571
Gm29539,1,1.375,2
Gm29695,175.28571428571428,153.75,154.71428571428572
Gm29797,96.71428571428571,94.375,24.285714285714285
Gm31135,85.85714285714286,52.125,24.285714285714285
Gm31256,1.5714285714285714,1.25,1.1428571428571428
Gm32999,1.5714285714285714,1.875,1.7142857142857142
Gm33222,7,9.25,9.428571428571429
Gm33489,195.57142857142858,183.125,74.71428571428571
Gm33533,15.285714285714286,16.25,18.285714285714285
Gm35315,51.42857142857143,62.875,80.14285714285714
Gm35339,394.57142857142856,404,251
Gm3551,1,1,0.8571428571428571
Gm36527,2.4285714285714284,2.375,1.8571428571428572
Gm3764,4120.428571428572,4328.75,4789.285714285715
Gm4017,18.285714285714285,19.25,15.428571428571429
Gm4208,1,1.375,1.2857142857142858
Gm4852,4.571428571428571,7.375,5.428571428571429
Gm4953,2.4285714285714284,2.75,3.7142857142857144
Gm4988,110.85714285714286,133.125,154.42857142857142
Gm5256,2.142857142857143,1.375,1.7142857142857142
Gm5415,1.8571428571428572,0.375,1.4285714285714286
Gm5468,4.142857142857143,6.25,9.142857142857142
Gm5523,1.8571428571428572,1.25,1.1428571428571428
Gm5525,21.428571428571427,22.25,20
Gm5526,19.571428571428573,17,15.428571428571429
Gm5529,21.714285714285715,18.375,19.428571428571427
Gm5532,4.571428571428571,5.125,4.714285714285714
Gm5830,12.714285714285714,11.125,12.714285714285714
Gm5835,33.285714285714285,34,34.285714285714285
Gm5837,5.285714285714286,5.75,5.428571428571429
Gm6028,2.2857142857142856,2.625,1.5714285714285714
Gm6104,1.8571428571428572,1.375,2.4285714285714284
Gm6136,19.571428571428573,21.25,22.571428571428573
Gm6170,27.428571428571427,31,24.714285714285715
Gm6177,1,0.625,1.2857142857142858
Gm6187,1.2857142857142858,1.75,2.142857142857143
Gm6277,211.14285714285714,173.75,105.85714285714286
Gm6430,2.7142857142857144,4.375,3.857142857142857
Gm6644,1.2857142857142858,1.75,1
Gm6822,11.428571428571429,9.75,9.714285714285714
Gm7160,17,15.125,17.142857142857142
Gm7241,1.7142857142857142,0.625,0.7142857142857143
Gm7266,3.142857142857143,5,5
Gm7357,3.142857142857143,2.625,3.142857142857143
Gm7658,8.714285714285714,10.75,9.571428571428571
Gm7761,7.857142857142857,9.5,6.714285714285714
Gm7846,8.428571428571429,11,10.714285714285714
Gm7895,16.714285714285715,17.625,15.571428571428571
Gm8013,6.428571428571429,5.75,5.571428571428571
Gm8141,10.428571428571429,11,8.571428571428571
Gm8173,0.8571428571428571,1.125,1.4285714285714286
Gm8292,11.142857142857142,11.25,13
Gm8337,18.857142857142858,19.125,13.571428571428571
Gm8451,29,31.5,32
Gm8493,33.285714285714285,29.375,10.285714285714286
Gm8615,34.57142857142857,29.25,8.857142857142858
Gm8618,0.7142857142857143,1.125,1
Gm9530,15.285714285714286,17.875,13.285714285714286
Gm9899,1366.5714285714287,1325.5,1072
Gm9925,309.7142857142857,406.25,609.7142857142857
Gm9962,13.857142857142858,17.125,18.428571428571427
Gmnn,105.57142857142857,118.375,123.57142857142857
Gna12,1879,1647.625,1371.142857142857
Gnb4,1914.5714285714287,1583.375,969.2857142857143
Gnmt,162,185.25,327.14285714285717
Gpatch8,5537.857142857143,5604,5523.571428571428
Gpld1,2603.8571428571427,3002.5,3360.8571428571427
Gpr1,5,4.75,6.142857142857143
Gpr137b,604,545.625,432.7142857142857
